"","Eye","Head","Neck","Back","Trunk","Shoulder","Arm","Wrist","Hand(s)","Hand(s), except finger(s)","Finger(s), fingernail(s)","Upper extremities","Knee","Ankle","Foot","Toe, toenail","Lower extremities","Body systems","Multiple","all other","value"
"2092",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"2093",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"2094",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"2095",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"2096",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"2097",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"2098",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"2099",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"2100",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"2101",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"2102",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2103",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"2104",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"2105",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"2106",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"2107",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"2108",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"2109",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"2110",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"2111",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"2112",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2113",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"2114",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"2115",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"2116",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"2117",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"2118",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2119",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"2120",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"2121",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"2122",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"2123",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2124",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"2125",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"2126",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2127",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"2128",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21
"2129",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22
"2130",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,41
"2131",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"2132",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90
"2133",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"2134",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"2135",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"2136",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2137",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"2138",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"2139",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"2140",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"2141",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,70
"2142",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2143",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"2144",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"2145",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"2146",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,163
"2147",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"2148",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25
"2149",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"2150",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33
"2151",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2152",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,128
"2153",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"2154",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
