"","Fractures","Sprains, strains, tears","Amputations","Bruise, contusions","Chemical burns and corrosions","Heat (thermal) burns","Soreness, pain","Cuts, lacerations","Punctures (except gunshot wounds)","Cuts, lacerations, punctures","Carpal tunnel syndrome","Tendonitis","With sprains","With fractures","Multiple traumatic injuries","all other","value"
"183",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"184",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
"185",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"186",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"187",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180
"188",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"189",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"190",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"191",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
"192",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"193",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
"194",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
"195",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103
"196",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
"197",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
"198",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
"199",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"200",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"201",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"202",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
"203",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"204",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
"205",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
"206",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180
"207",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
