"","<3 mos.","3-11 mos.","1-5 yrs.","5 yrs.","Not reported","value"
"630",0,1,0,0,0,7
"631",0,1,0,0,0,18
"632",0,1,0,0,0,10
"633",0,1,0,0,0,8
"634",0,1,0,0,0,5
"635",0,1,0,0,0,4
"636",0,1,0,0,0,7
"637",0,1,0,0,0,2
"638",0,1,0,0,0,1
"639",0,1,0,0,0,8
"640",0,1,0,0,0,5
"641",0,1,0,0,0,3
"642",0,1,0,0,0,3
"643",0,1,0,0,0,4
"644",0,1,0,0,0,3
"645",0,1,0,0,0,2
"646",0,1,0,0,0,3
"647",0,1,0,0,0,3
"648",0,1,0,0,0,6
"649",0,1,0,0,0,5
"650",0,1,0,0,0,6
"651",0,1,0,0,0,4
"652",0,1,0,0,0,9
"653",0,1,0,0,0,7
"654",0,1,0,0,0,5
"655",0,1,0,0,0,5
"656",0,1,0,0,0,1
"657",0,1,0,0,0,30
"658",0,1,0,0,0,7
"659",0,1,0,0,0,1
"660",0,1,0,0,0,21
"661",0,1,0,0,0,1
"662",0,1,0,0,0,8
"663",0,1,0,0,0,14
"664",0,1,0,0,0,4
"665",0,1,0,0,0,16
"666",0,1,0,0,0,1
"667",0,1,0,0,0,2
"668",0,1,0,0,0,5
"669",0,1,0,0,0,6
"670",0,1,0,0,0,21
"671",0,1,0,0,0,2
"672",0,1,0,0,0,4
"673",0,1,0,0,0,6
"674",0,1,0,0,0,9
"675",0,1,0,0,0,2
"676",0,1,0,0,0,2
"677",0,1,0,0,0,3
"678",0,1,0,0,0,3
"679",0,1,0,0,0,6
"680",0,1,0,0,0,3
"681",0,1,0,0,0,8
"682",0,1,0,0,0,70
"683",0,1,0,0,0,3
"684",0,1,0,0,0,7
"685",0,1,0,0,0,4
"686",0,1,0,0,0,12
"687",0,1,0,0,0,7
"688",0,1,0,0,0,5
"689",0,1,0,0,0,1
"690",0,1,0,0,0,21
"691",0,1,0,0,0,2
"692",0,1,0,0,0,5
"693",0,1,0,0,0,1
"694",0,1,0,0,0,4
"695",0,1,0,0,0,5
"696",0,1,0,0,0,5
"697",0,1,0,0,0,4
"698",0,1,0,0,0,1
"699",0,1,0,0,0,4
"700",0,1,0,0,0,6
"701",0,1,0,0,0,7
"702",0,1,0,0,0,4
"703",0,1,0,0,0,3
"704",0,1,0,0,0,4
"705",0,1,0,0,0,7
"706",0,1,0,0,0,3
"707",0,1,0,0,0,7
"708",0,1,0,0,0,5
"709",0,1,0,0,0,6
"710",0,1,0,0,0,8
"711",0,1,0,0,0,8
"712",0,1,0,0,0,5
"713",0,1,0,0,0,7
"714",0,1,0,0,0,3
"715",0,1,0,0,0,7
"716",0,1,0,0,0,5
"717",0,1,0,0,0,9
"718",0,1,0,0,0,5
"719",0,1,0,0,0,10
"720",0,1,0,0,0,4
"721",0,1,0,0,0,31
"722",0,1,0,0,0,6
"723",0,1,0,0,0,9
"724",0,1,0,0,0,5
"725",0,1,0,0,0,7
"726",0,1,0,0,0,8
"727",0,1,0,0,0,2
"728",0,1,0,0,0,14
"729",0,1,0,0,0,2
"730",0,1,0,0,0,5
"731",0,1,0,0,0,4
"732",0,1,0,0,0,17
"733",0,1,0,0,0,4
"734",0,1,0,0,0,5
"735",0,1,0,0,0,2
"736",0,1,0,0,0,3
"737",0,1,0,0,0,3
"738",0,1,0,0,0,3
"739",0,1,0,0,0,3
"740",0,1,0,0,0,5
"741",0,1,0,0,0,10
"742",0,1,0,0,0,10
"743",0,1,0,0,0,6
"744",0,1,0,0,0,10
"745",0,1,0,0,0,14
"746",0,1,0,0,0,7
"747",0,1,0,0,0,2
"748",0,1,0,0,0,21
"749",0,1,0,0,0,1
"750",0,1,0,0,0,7
"751",0,1,0,0,0,3
"752",0,1,0,0,0,2
"753",0,1,0,0,0,3
"754",0,1,0,0,0,35
"755",0,1,0,0,0,14
"756",0,1,0,0,0,4
"757",0,1,0,0,0,1
"758",0,1,0,0,0,5
"759",0,1,0,0,0,5
"760",0,1,0,0,0,15
"761",0,1,0,0,0,3
"762",0,1,0,0,0,14
"763",0,1,0,0,0,3
"764",0,1,0,0,0,7
"765",0,1,0,0,0,17
"766",0,1,0,0,0,5
"767",0,1,0,0,0,6
"768",0,1,0,0,0,21
"769",0,1,0,0,0,5
"770",0,1,0,0,0,4
"771",0,1,0,0,0,3
"772",0,1,0,0,0,3
"773",0,1,0,0,0,5
"774",0,1,0,0,0,5
"775",0,1,0,0,0,7
"776",0,1,0,0,0,2
"777",0,1,0,0,0,37
"778",0,1,0,0,0,10
"779",0,1,0,0,0,4
"780",0,1,0,0,0,4
"781",0,1,0,0,0,3
"782",0,1,0,0,0,1
"783",0,1,0,0,0,6
"784",0,1,0,0,0,6
"785",0,1,0,0,0,35
"786",0,1,0,0,0,3
"787",0,1,0,0,0,3
"788",0,1,0,0,0,14
"789",0,1,0,0,0,11
"790",0,1,0,0,0,3
"791",0,1,0,0,0,5
"792",0,1,0,0,0,12
"793",0,1,0,0,0,4
"794",0,1,0,0,0,7
"795",0,1,0,0,0,2
"796",0,1,0,0,0,5
"797",0,1,0,0,0,4
"798",0,1,0,0,0,5
"799",0,1,0,0,0,7
"800",0,1,0,0,0,50
"801",0,1,0,0,0,3
"802",0,1,0,0,0,4
"803",0,1,0,0,0,12
"804",0,1,0,0,0,3
"805",0,1,0,0,0,1
"806",0,1,0,0,0,38
"807",0,1,0,0,0,3
"808",0,1,0,0,0,75
"809",0,1,0,0,0,7
"810",0,1,0,0,0,4
"811",0,1,0,0,0,2
"812",0,1,0,0,0,5
"813",0,1,0,0,0,10
"814",0,1,0,0,0,14
"815",0,1,0,0,0,10
"816",0,1,0,0,0,4
"817",0,1,0,0,0,9
"818",0,1,0,0,0,14
"819",0,1,0,0,0,4
"820",0,1,0,0,0,14
"821",0,1,0,0,0,90
"822",0,1,0,0,0,4
"823",0,1,0,0,0,1
"824",0,1,0,0,0,5
"825",0,1,0,0,0,7
"826",0,1,0,0,0,2
"827",0,1,0,0,0,8
"828",0,1,0,0,0,30
"829",0,1,0,0,0,10
"830",0,1,0,0,0,2
"831",0,1,0,0,0,33
"832",0,1,0,0,0,30
"833",0,1,0,0,0,4
"834",0,1,0,0,0,2
"835",0,1,0,0,0,6
"836",0,1,0,0,0,37
"837",0,1,0,0,0,20
"838",0,1,0,0,0,1
"839",0,1,0,0,0,5
"840",0,1,0,0,0,14
"841",0,1,0,0,0,3
"842",0,1,0,0,0,3
"843",0,1,0,0,0,9
"844",0,1,0,0,0,5
"845",0,1,0,0,0,2
"846",0,1,0,0,0,10
"847",0,1,0,0,0,7
"848",0,1,0,0,0,5
"849",0,1,0,0,0,1
"850",0,1,0,0,0,20
"851",0,1,0,0,0,10
"852",0,1,0,0,0,30
"853",0,1,0,0,0,2
"854",0,1,0,0,0,2
"855",0,1,0,0,0,12
"856",0,1,0,0,0,10
"857",0,1,0,0,0,5
"858",0,1,0,0,0,10
"859",0,1,0,0,0,2
"860",0,1,0,0,0,7
"861",0,1,0,0,0,5
"862",0,1,0,0,0,2
"863",0,1,0,0,0,6
"864",0,1,0,0,0,1
"865",0,1,0,0,0,10
"866",0,1,0,0,0,1
"867",0,1,0,0,0,3
"868",0,1,0,0,0,8
"869",0,1,0,0,0,12
"870",0,1,0,0,0,18
"871",0,1,0,0,0,6
"872",0,1,0,0,0,7
"873",0,1,0,0,0,23
"874",0,1,0,0,0,14
"875",0,1,0,0,0,3
"876",0,1,0,0,0,8
"877",0,1,0,0,0,5
"878",0,1,0,0,0,2
"879",0,1,0,0,0,5
"880",0,1,0,0,0,5
"881",0,1,0,0,0,2
"882",0,1,0,0,0,8
"883",0,1,0,0,0,14
"884",0,1,0,0,0,6
"885",0,1,0,0,0,7
"886",0,1,0,0,0,5
"887",0,1,0,0,0,126
"888",0,1,0,0,0,5
"889",0,1,0,0,0,4
"890",0,1,0,0,0,4
"891",0,1,0,0,0,8
"892",0,1,0,0,0,10
"893",0,1,0,0,0,2
"894",0,1,0,0,0,5
"895",0,1,0,0,0,7
"896",0,1,0,0,0,2
"897",0,1,0,0,0,8
"898",0,1,0,0,0,3
"899",0,1,0,0,0,2
"900",0,1,0,0,0,7
"901",0,1,0,0,0,5
"902",0,1,0,0,0,2
"903",0,1,0,0,0,3
"904",0,1,0,0,0,10
"905",0,1,0,0,0,3
"906",0,1,0,0,0,5
"907",0,1,0,0,0,3
"908",0,1,0,0,0,2
"909",0,1,0,0,0,4
"910",0,1,0,0,0,5
"911",0,1,0,0,0,3
"912",0,1,0,0,0,5
"913",0,1,0,0,0,6
"914",0,1,0,0,0,5
"915",0,1,0,0,0,3
"916",0,1,0,0,0,5
"917",0,1,0,0,0,3
"918",0,1,0,0,0,4
"919",0,1,0,0,0,4
"920",0,1,0,0,0,3
"921",0,1,0,0,0,6
"922",0,1,0,0,0,2
